house_number,addition,street
7,,Reitbahnstraße
8,,Reitbahnstraße
9,,Reitbahnstraße
10,,Reitbahnstraße
11,,Reitbahnstraße
12,,Reitbahnstraße
13,,Reitbahnstraße
14,,Reitbahnstraße
8,,Am Schragen
15,,Reitbahnstraße
16,,Reitbahnstraße
17,,Reitbahnstraße
18,,Reitbahnstraße
19,,Reitbahnstraße
20,,Reitbahnstraße
21,,Reitbahnstraße
22,,Reitbahnstraße
1,,Sattlerstraße
3,,Sattlerstraße
3,a,Sattlerstraße
9,,Am Schragen
5,,Sattlerstraße
6,,Sattlerstraße
7,,Sattlerstraße
8,,Sattlerstraße
9,,Sattlerstraße
10,,Sattlerstraße
11,,Sattlerstraße
12,,Sattlerstraße
13,,Sattlerstraße
14,,Sattlerstraße
15,,Sattlerstraße
16,,Sattlerstraße
17,,Sattlerstraße
18,,Sattlerstraße
19,,Sattlerstraße
20,,Sattlerstraße
21,,Sattlerstraße
22,,Sattlerstraße
23,,Sattlerstraße
24,,Sattlerstraße
25,,Sattlerstraße
26,,Sattlerstraße
27,,Sattlerstraße
28,,Sattlerstraße
29,,Sattlerstraße
30,,Sattlerstraße
31,,Sattlerstraße
32,,Sattlerstraße
34,,Sattlerstraße
36,,Sattlerstraße
38,,Sattlerstraße
2,,Schmiedegasse
4,,Schmiedegasse
5,,Schmiedegasse
6,,Schmiedegasse
7,,Schmiedegasse
8,,Schmiedegasse
9,,Schmiedegasse
10,,Schmiedegasse
11,,Schmiedegasse
12,,Schmiedegasse
13,,Schmiedegasse
14,,Schmiedegasse
15,,Schmiedegasse
16,,Schmiedegasse
17,,Schmiedegasse
18,,Schmiedegasse
19,,Schmiedegasse
20,,Schmiedegasse
21,,Schmiedegasse
23,,Schmiedegasse
25,,Schmiedegasse
27,,Schmiedegasse
29,,Schmiedegasse
31,,Schmiedegasse
33,,Schmiedegasse
35,,Schmiedegasse
37,,Schmiedegasse
39,,Schmiedegasse
41,,Schmiedegasse
43,,Schmiedegasse
45,,Schmiedegasse
47,,Schmiedegasse
49,,Schmiedegasse
51,,Schmiedegasse
53,,Schmiedegasse
55,,Schmiedegasse
57,,Schmiedegasse
59,,Schmiedegasse
61,,Schmiedegasse
63,,Schmiedegasse
65,,Schmiedegasse
2,,Kutscherweg
4,,Kutscherweg
6,,Kutscherweg
8,,Kutscherweg
10,,Kutscherweg
12,,Kutscherweg
14,,Kutscherweg
16,,Kutscherweg
18,,Kutscherweg
20,,Kutscherweg
22,,Kutscherweg
24,,Kutscherweg
26,,Kutscherweg
28,,Kutscherweg
30,,Kutscherweg
32,,Kutscherweg
34,,Kutscherweg
1,,Am Schragen
6,,Am Fenn
3,,Am Schragen
4,,Am Schragen
5,,Am Schragen
6,,Am Schragen
7,,Am Schragen
10,,Am Schragen
11,,Am Schragen
12,,Am Schragen
13,,Am Schragen
14,,Am Schragen
15,,Am Schragen
16,,Am Schragen
17,,Am Schragen
18,,Am Schragen
19,,Am Schragen
20,,Am Schragen
21,,Am Schragen
22,,Am Schragen
23,,Am Schragen
24,,Am Schragen
25,,Am Schragen
26,,Am Schragen
27,,Am Schragen
28,,Am Schragen
29,,Am Schragen
30,,Am Schragen
31,,Am Schragen
32,,Am Schragen
33,,Am Schragen
34,,Am Schragen
35,,Am Schragen
36,,Am Schragen
37,,Am Schragen
38,,Am Schragen
39,,Am Schragen
40,,Am Schragen
41,,Am Schragen
42,,Am Schragen
43,,Am Schragen
44,,Am Schragen
45,,Am Schragen
46,,Am Schragen
47,,Am Schragen
48,,Am Schragen
49,,Am Schragen
50,,Am Schragen
51,,Am Schragen
52,,Am Schragen
53,,Am Schragen
54,,Am Schragen
55,,Am Schragen
56,,Am Schragen
57,,Am Schragen
1,,Beyerstraße
2,,Beyerstraße
3,,Beyerstraße
4,,Beyerstraße
5,,Beyerstraße
6,,Beyerstraße
6,a,Beyerstraße
7,,Beyerstraße
8,,Beyerstraße
9,,Beyerstraße
1,,Birkenstraße
2,,Birkenstraße
3,,Birkenstraße
4,,Birkenstraße
5,,Birkenstraße
6,,Birkenstraße
7,,Birkenstraße
8,,Birkenstraße
9,,Birkenstraße
10,,Birkenstraße
1,,Hessestraße
2,,Hessestraße
3,,Hessestraße
8,,Fliederweg
4,,Hessestraße
5,,Hessestraße
6,,Hessestraße
7,,Hessestraße
8,,Hessestraße
8,a,Hessestraße
8,b,Hessestraße
8,c,Hessestraße
8,d,Hessestraße
8,e,Hessestraße
8,f,Hessestraße
8,g,Hessestraße
8,h,Hessestraße
8,i,Hessestraße
8,k,Hessestraße
8,l,Hessestraße
8,m,Hessestraße
9,,Hessestraße
9,a,Hessestraße
9,b,Hessestraße
9,c,Hessestraße
9,d,Hessestraße
9,e,Hessestraße
9,,Fliederweg
9,f,Hessestraße
9,g,Hessestraße
9,h,Hessestraße
9,i,Hessestraße
9,k,Hessestraße
9,l,Hessestraße
9,m,Hessestraße
9,n,Hessestraße
9,o,Hessestraße
9,p,Hessestraße
10,,Hessestraße
10,,Fliederweg
11,,Hessestraße
12,,Hessestraße
13,,Hessestraße
14,,Hessestraße
15,,Hessestraße
16,,Hessestraße
17,,Hessestraße
18,,Hessestraße
19,,Hessestraße
1,,Kleine Weinmeisterstraße
2,,Kleine Weinmeisterstraße
3,,Kleine Weinmeisterstraße
4,,Kleine Weinmeisterstraße
5,,Kleine Weinmeisterstraße
6,,Kleine Weinmeisterstraße
7,,Kleine Weinmeisterstraße
8,,Kleine Weinmeisterstraße
9,,Kleine Weinmeisterstraße
10,,Kleine Weinmeisterstraße
11,,Kleine Weinmeisterstraße
12,,Kleine Weinmeisterstraße
13,,Kleine Weinmeisterstraße
14,,Kleine Weinmeisterstraße
15,,Kleine Weinmeisterstraße
16,,Kleine Weinmeisterstraße
17,,Kleine Weinmeisterstraße
1,,Persiusstraße
2,,Persiusstraße
3,,Persiusstraße
4,,Persiusstraße
5,,Persiusstraße
7,,Persiusstraße
8,,Persiusstraße
9,,Persiusstraße
10,,Persiusstraße
11,,Persiusstraße
12,,Persiusstraße
13,,Persiusstraße
14,,Persiusstraße
1,,Puschkinallee
2,,Puschkinallee
3,,Puschkinallee
4,,Puschkinallee
5,,Puschkinallee
11,,Fliederweg
6,,Puschkinallee
7,,Puschkinallee
8,,Puschkinallee
9,,Puschkinallee
10,,Puschkinallee
11,,Puschkinallee
12,,Puschkinallee
13,,Puschkinallee
14,,Puschkinallee
14,a,Puschkinallee
14,b,Puschkinallee
14,c,Puschkinallee
16,,Puschkinallee
16,b,Puschkinallee
17,,Puschkinallee
17,a,Puschkinallee
17,b,Puschkinallee
18,,Puschkinallee
20,,Puschkinallee
22,,Puschkinallee
23,,Lisdorf
23,,Puschkinallee
12,,Fliederweg
26,,Puschkinallee
1,,Russische Kolonie
2,,Russische Kolonie
3,,Russische Kolonie
4,,Russische Kolonie
5,,Russische Kolonie
6,,Russische Kolonie
7,,Russische Kolonie
8,,Russische Kolonie
9,,Russische Kolonie
10,,Russische Kolonie
11,,Russische Kolonie
12,,Russische Kolonie
13,,Russische Kolonie
14,,Russische Kolonie
1,,Eisenhartstraße
2,,Eisenhartstraße
3,,Eisenhartstraße
4,,Eisenhartstraße
5,,Eisenhartstraße
6,,Eisenhartstraße
7,,Eisenhartstraße
8,,Eisenhartstraße
9,,Eisenhartstraße
10,,Eisenhartstraße
11,,Eisenhartstraße
12,,Eisenhartstraße
13,,Eisenhartstraße
14,,Eisenhartstraße
15,,Eisenhartstraße
16,,Eisenhartstraße
17,,Eisenhartstraße
18,,Eisenhartstraße
19,,Eisenhartstraße
20,,Eisenhartstraße
21,,Eisenhartstraße
22,,Eisenhartstraße
23,,Eisenhartstraße
24,,Eisenhartstraße
25,,Eisenhartstraße
26,,Eisenhartstraße
27,,Eisenhartstraße
1,,Friedrich-Ebert-Straße
2,,Friedrich-Ebert-Straße
8,,Friedrich-Ebert-Straße
9,,Friedrich-Ebert-Straße
10,,Friedrich-Ebert-Straße
11,,Friedrich-Ebert-Straße
12,,Friedrich-Ebert-Straße
13,,Friedrich-Ebert-Straße
14,,Friedrich-Ebert-Straße
15,,Friedrich-Ebert-Straße
16,,Friedrich-Ebert-Straße
17,,Friedrich-Ebert-Straße
18,,Friedrich-Ebert-Straße
19,,Friedrich-Ebert-Straße
20,,Friedrich-Ebert-Straße
21,,Friedrich-Ebert-Straße
22,,Friedrich-Ebert-Straße
23,,Friedrich-Ebert-Straße
24,,Friedrich-Ebert-Straße
25,,Friedrich-Ebert-Straße
26,,Friedrich-Ebert-Straße
27,,Friedrich-Ebert-Straße
28,,Friedrich-Ebert-Straße
29,,Friedrich-Ebert-Straße
30,,Friedrich-Ebert-Straße
31,,Friedrich-Ebert-Straße
32,,Friedrich-Ebert-Straße
33,,Friedrich-Ebert-Straße
34,,Friedrich-Ebert-Straße
35,,Friedrich-Ebert-Straße
35,a,Friedrich-Ebert-Straße
35,b,Friedrich-Ebert-Straße
35,c,Friedrich-Ebert-Straße
36,,Friedrich-Ebert-Straße
37,,Friedrich-Ebert-Straße
38,,Friedrich-Ebert-Straße
39,,Friedrich-Ebert-Straße
40,,Friedrich-Ebert-Straße
41,,Friedrich-Ebert-Straße
42,,Friedrich-Ebert-Straße
43,,Friedrich-Ebert-Straße
44,,Friedrich-Ebert-Straße
45,,Friedrich-Ebert-Straße
46,,Friedrich-Ebert-Straße
47,,Friedrich-Ebert-Straße
48,,Friedrich-Ebert-Straße
49,,Friedrich-Ebert-Straße
50,,Friedrich-Ebert-Straße
51,,Friedrich-Ebert-Straße
52,,Friedrich-Ebert-Straße
53,,Friedrich-Ebert-Straße
54,,Friedrich-Ebert-Straße
55,,Friedrich-Ebert-Straße
56,,Friedrich-Ebert-Straße
57,,Friedrich-Ebert-Straße
57,a,Friedrich-Ebert-Straße
58,,Friedrich-Ebert-Straße
59,,Friedrich-Ebert-Straße
60,,Friedrich-Ebert-Straße
61,,Friedrich-Ebert-Straße
62,,Friedrich-Ebert-Straße
63,,Friedrich-Ebert-Straße
13,,Fliederweg
64,,Friedrich-Ebert-Straße
65,,Friedrich-Ebert-Straße
67,,Friedrich-Ebert-Straße
67,a,Friedrich-Ebert-Straße
68,,Friedrich-Ebert-Straße
69,,Friedrich-Ebert-Straße
70,,Friedrich-Ebert-Straße
71,,Friedrich-Ebert-Straße
71,a,Friedrich-Ebert-Straße
71,b,Friedrich-Ebert-Straße
72,,Friedrich-Ebert-Straße
73,,Friedrich-Ebert-Straße
74,,Friedrich-Ebert-Straße
75,,Friedrich-Ebert-Straße
76,,Friedrich-Ebert-Straße
78,,Friedrich-Ebert-Straße
79,,Friedrich-Ebert-Straße
80,,Friedrich-Ebert-Straße
81,,Friedrich-Ebert-Straße
82,,Friedrich-Ebert-Straße
83,,Friedrich-Ebert-Straße
84,,Friedrich-Ebert-Straße
85,,Friedrich-Ebert-Straße
86,,Friedrich-Ebert-Straße
87,,Friedrich-Ebert-Straße
88,,Friedrich-Ebert-Straße
89,,Friedrich-Ebert-Straße
90,,Friedrich-Ebert-Straße
91,,Friedrich-Ebert-Straße
92,,Friedrich-Ebert-Straße
93,,Friedrich-Ebert-Straße
94,,Friedrich-Ebert-Straße
95,,Friedrich-Ebert-Straße
96,,Friedrich-Ebert-Straße
97,,Friedrich-Ebert-Straße
98,,Friedrich-Ebert-Straße
99,,Friedrich-Ebert-Straße
100,,Friedrich-Ebert-Straße
101,,Friedrich-Ebert-Straße
102,,Friedrich-Ebert-Straße
103,,Friedrich-Ebert-Straße
104,,Friedrich-Ebert-Straße
105,,Friedrich-Ebert-Straße
106,,Friedrich-Ebert-Straße
107,,Friedrich-Ebert-Straße
108,,Friedrich-Ebert-Straße
109,,Friedrich-Ebert-Straße
110,,Friedrich-Ebert-Straße
111,,Friedrich-Ebert-Straße
112,,Friedrich-Ebert-Straße
113,,Friedrich-Ebert-Straße
114,,Friedrich-Ebert-Straße
114,a,Friedrich-Ebert-Straße
115,,Friedrich-Ebert-Straße
116,,Friedrich-Ebert-Straße
117,,Friedrich-Ebert-Straße
118,,Friedrich-Ebert-Straße
119,,Friedrich-Ebert-Straße
120,,Friedrich-Ebert-Straße
121,,Friedrich-Ebert-Straße
122,,Friedrich-Ebert-Straße
123,,Friedrich-Ebert-Straße
124,,Friedrich-Ebert-Straße
125,,Friedrich-Ebert-Straße
1,,Hebbelstraße
1,a,Hebbelstraße
1,c,Hebbelstraße
1,d,Hebbelstraße
2,,Hebbelstraße
3,,Hebbelstraße
4,,Hebbelstraße
5,,Hebbelstraße
6,,Hebbelstraße
7,,Hebbelstraße
8,,Hebbelstraße
9,,Hebbelstraße
9,a,Hebbelstraße
10,,Hebbelstraße
11,,Hebbelstraße
12,,Hebbelstraße
12,b,Hebbelstraße
14,,Hebbelstraße
15,,Hebbelstraße
16,,Hebbelstraße
17,,Hebbelstraße
19,,Hebbelstraße
20,,Hebbelstraße
21,,Hebbelstraße
22,,Hebbelstraße
23,,Hebbelstraße
24,,Hebbelstraße
25,,Hebbelstraße
26,,Hebbelstraße
27,,Hebbelstraße
28,,Hebbelstraße
29,,Hebbelstraße
30,,Hebbelstraße
31,,Hebbelstraße
32,,Hebbelstraße
33,,Hebbelstraße
33,a,Hebbelstraße
33,b,Hebbelstraße
34,,Hebbelstraße
35,,Hebbelstraße
36,,Hebbelstraße
37,,Hebbelstraße
37,a,Hebbelstraße
38,,Hebbelstraße
39,,Hebbelstraße
40,,Hebbelstraße
41,,Hebbelstraße
42,,Hebbelstraße
43,,Hebbelstraße
44,,Hebbelstraße
45,,Hebbelstraße
46,,Hebbelstraße
47,,Hebbelstraße
48,,Hebbelstraße
49,,Hebbelstraße
50,,Hebbelstraße
51,,Hebbelstraße
7,,Am Fenn
52,,Hebbelstraße
53,,Hebbelstraße
54,,Hebbelstraße
55,,Hebbelstraße
56,,Hebbelstraße
1,,Helene-Lange-Straße
1,a,Helene-Lange-Straße
1,b,Helene-Lange-Straße
1,c,Helene-Lange-Straße
1,d,Helene-Lange-Straße
2,,Helene-Lange-Straße
3,,Helene-Lange-Straße
4,,Helene-Lange-Straße
4,a,Helene-Lange-Straße
5,,Helene-Lange-Straße
6,,Helene-Lange-Straße
7,,Helene-Lange-Straße
8,,Helene-Lange-Straße
9,,Helene-Lange-Straße
10,,Helene-Lange-Straße
10,a,Helene-Lange-Straße
11,,Helene-Lange-Straße
12,,Helene-Lange-Straße
13,,Helene-Lange-Straße
14,,Helene-Lange-Straße
15,,Helene-Lange-Straße
16,,Helene-Lange-Straße
17,,Helene-Lange-Straße
18,,Helene-Lange-Straße
18,a,Helene-Lange-Straße
1,,Alleestraße
2,,Alleestraße
3,,Alleestraße
4,,Alleestraße
5,,Alleestraße
6,,Alleestraße
6,a,Alleestraße
7,,Alleestraße
8,,Alleestraße
9,,Alleestraße
9,a,Alleestraße
10,,Alleestraße
10,a,Alleestraße
11,,Alleestraße
12,,Alleestraße
13,,Alleestraße
1,,Reiterweg
2,,Reiterweg
3,,Reiterweg
4,,Reiterweg
5,,Reiterweg
6,,Reiterweg
7,,Reiterweg
8,,Reiterweg
9,,Reiterweg
10,,Reiterweg
11,,Reiterweg
1,,Bertha-von-Suttner-Straße
2,,Bertha-von-Suttner-Straße
3,,Bertha-von-Suttner-Straße
14,,Fliederweg
4,,Bertha-von-Suttner-Straße
5,,Bertha-von-Suttner-Straße
22,,Forststraße
6,,Bertha-von-Suttner-Straße
7,,Bertha-von-Suttner-Straße
8,,Bertha-von-Suttner-Straße
9,,Bertha-von-Suttner-Straße
10,,Bertha-von-Suttner-Straße
11,,Bertha-von-Suttner-Straße
12,,Bertha-von-Suttner-Straße
13,,Bertha-von-Suttner-Straße
14,,Bertha-von-Suttner-Straße
15,,Bertha-von-Suttner-Straße
16,,Bertha-von-Suttner-Straße
17,,Bertha-von-Suttner-Straße
18,,Bertha-von-Suttner-Straße
19,,Bertha-von-Suttner-Straße
20,,Bertha-von-Suttner-Straße
21,,Bertha-von-Suttner-Straße
22,,Bertha-von-Suttner-Straße
23,,Bertha-von-Suttner-Straße
1,,Behlertstraße
1,a,Behlertstraße
2,,Behlertstraße
3,,Behlertstraße
3,a,Behlertstraße
4,,Behlertstraße
4,a,Behlertstraße
4,b,Behlertstraße
4,c,Behlertstraße
5,,Behlertstraße
6,,Behlertstraße
6,a,Behlertstraße
6,b,Behlertstraße
7,,Behlertstraße
8,,Behlertstraße
9,,Behlertstraße
10,a,Behlertstraße
10,b,Behlertstraße
10,c,Behlertstraße
11,a,Behlertstraße
11,b,Behlertstraße
11,c,Behlertstraße
5,,Am Palais Lichtenau
11,d,Behlertstraße
12,,Behlertstraße
13,,Behlertstraße
14,,Behlertstraße
14,a,Behlertstraße
14,b,Behlertstraße
14,c,Behlertstraße
15,,Behlertstraße
16,a,Behlertstraße
16,b,Behlertstraße
15,,Fliederweg
16,c,Behlertstraße
17,a,Behlertstraße
17,b,Behlertstraße
17,c,Behlertstraße
18,,Behlertstraße
19,,Behlertstraße
20,,Behlertstraße
21,,Behlertstraße
22,,Behlertstraße
25,,Behlertstraße
16,,Fliederweg
25,a,Behlertstraße
26,,Behlertstraße
27,,Behlertstraße
27,a,Behlertstraße
29,,Behlertstraße
29,a,Behlertstraße
29,b,Behlertstraße
31,,Behlertstraße
32,,Behlertstraße
33,,Behlertstraße
17,,Fliederweg
33,a,Behlertstraße
34,,Behlertstraße
35,,Behlertstraße
36,,Behlertstraße
36,a,Behlertstraße
37,,Behlertstraße
38,,Behlertstraße
38,a,Behlertstraße
38,b,Behlertstraße
38,c,Behlertstraße
21,,Fliederweg
39,,Behlertstraße
40,,Behlertstraße
40,a,Behlertstraße
40,b,Behlertstraße
40,c,Behlertstraße
41,,Behlertstraße
42,,Behlertstraße
42,a,Behlertstraße
42,b,Behlertstraße
42,c,Behlertstraße
42,d,Behlertstraße
43,,Behlertstraße
44,,Behlertstraße
45,,Behlertstraße
45,a,Behlertstraße
1,,Am Palais Lichtenau
3,,Am Palais Lichtenau
4,,Am Palais Lichtenau
4,a,Am Palais Lichtenau
4,b,Am Palais Lichtenau
4,c,Am Palais Lichtenau
6,,Am Palais Lichtenau
6,a,Am Palais Lichtenau
8,,Am Palais Lichtenau
8,a,Am Palais Lichtenau
8,b,Am Palais Lichtenau
10,,Berliner Straße
11,,Berliner Straße
14,,Berliner Straße
20,,Berliner Straße
23,,Forststraße
21,,Berliner Straße
22,,Berliner Straße
23,,Berliner Straße
24,,Berliner Straße
25,,Berliner Straße
26,,Berliner Straße
26,a,Berliner Straße
26,b,Berliner Straße
26,c,Berliner Straße
26,d,Berliner Straße
27,,Berliner Straße
27,a,Berliner Straße
27,b,Berliner Straße
28,,Berliner Straße
28,a,Berliner Straße
29,,Berliner Straße
29,a,Berliner Straße
29,b,Berliner Straße
29,c,Berliner Straße
29,d,Berliner Straße
29,e,Berliner Straße
29,f,Berliner Straße
29,g,Berliner Straße
29,h,Berliner Straße
30,,Berliner Straße
31,,Berliner Straße
32,,Berliner Straße
33,,Berliner Straße
34,,Berliner Straße
35,,Berliner Straße
36,,Berliner Straße
37,,Berliner Straße
38,,Berliner Straße
39,,Berliner Straße
40,,Berliner Straße
41,,Berliner Straße
41,a,Berliner Straße
42,,Berliner Straße
43,,Berliner Straße
44,,Berliner Straße
45,,Berliner Straße
46,,Berliner Straße
46,a,Berliner Straße
47,,Berliner Straße
48,,Berliner Straße
49,,Berliner Straße
50,,Berliner Straße
51,,Berliner Straße
52,,Berliner Straße
53,,Berliner Straße
54,,Berliner Straße
55,,Berliner Straße
56,,Berliner Straße
57,,Berliner Straße
58,,Berliner Straße
59,,Berliner Straße
60,,Berliner Straße
61,,Berliner Straße
61,a,Berliner Straße
62,,Berliner Straße
67,,Berliner Straße
69,,Berliner Straße
69,a,Berliner Straße
69,b,Berliner Straße
69,c,Berliner Straße
69,d,Berliner Straße
69,e,Berliner Straße
69,f,Berliner Straße
70,,Berliner Straße
71,,Berliner Straße
71,a,Berliner Straße
71,b,Berliner Straße
71,c,Berliner Straße
71,d,Berliner Straße
71,e,Berliner Straße
71,f,Berliner Straße
72,,Berliner Straße
73,,Berliner Straße
73,a,Berliner Straße
73,b,Berliner Straße
73,c,Berliner Straße
73,d,Berliner Straße
74,,Berliner Straße
75,,Berliner Straße
75,a,Berliner Straße
75,b,Berliner Straße
75,c,Berliner Straße
75,d,Berliner Straße
75,e,Berliner Straße
75,f,Berliner Straße
75,g,Berliner Straße
75,h,Berliner Straße
75,j,Berliner Straße
75,k,Berliner Straße
75,l,Berliner Straße
76,,Berliner Straße
77,,Berliner Straße
77,a,Berliner Straße
78,,Berliner Straße
79,,Berliner Straße
79,a,Berliner Straße
80,,Berliner Straße
81,,Berliner Straße
86,,Berliner Straße
87,,Berliner Straße
88,,Berliner Straße
89,,Berliner Straße
90,,Berliner Straße
91,,Berliner Straße
91,a,Berliner Straße
92,,Berliner Straße
93,,Berliner Straße
94,,Berliner Straße
95,,Berliner Straße
96,,Berliner Straße
97,,Berliner Straße
97,a,Berliner Straße
98,,Berliner Straße
99,,Berliner Straße
100,,Berliner Straße
101,,Berliner Straße
102,,Berliner Straße
103,,Berliner Straße
103,a,Berliner Straße
104,,Berliner Straße
24,,Forststraße
105,,Berliner Straße
106,,Berliner Straße
107,,Berliner Straße
109,,Berliner Straße
110,,Berliner Straße
110,a,Berliner Straße
111,,Berliner Straße
112,,Berliner Straße
113,,Berliner Straße
114,,Berliner Straße
115,,Berliner Straße
116,,Berliner Straße
116,a,Berliner Straße
117,,Berliner Straße
118,,Berliner Straße
119,,Berliner Straße
120,,Berliner Straße
121,,Berliner Straße
122,,Berliner Straße
123,,Berliner Straße
124,,Berliner Straße
125,,Berliner Straße
126,,Berliner Straße
127,,Berliner Straße
128,,Berliner Straße
129,,Berliner Straße
130,,Berliner Straße
131,,Berliner Straße
131,a,Berliner Straße
132,,Berliner Straße
133,,Berliner Straße
134,,Berliner Straße
135,,Berliner Straße
136,,Berliner Straße
136,a,Berliner Straße
137,,Berliner Straße
139,,Berliner Straße
140,,Berliner Straße
141,,Berliner Straße
142,,Berliner Straße
143,,Berliner Straße
144,,Berliner Straße
145,,Berliner Straße
146,,Berliner Straße
147,,Berliner Straße
148,,Berliner Straße
149,,Berliner Straße
149,a,Berliner Straße
150,,Berliner Straße
150,a,Berliner Straße
151,,Berliner Straße
152,,Berliner Straße
1,,Böcklinstraße
2,,Böcklinstraße
3,,Böcklinstraße
3,d,Böcklinstraße
4,,Böcklinstraße
5,,Böcklinstraße
6,,Böcklinstraße
8,,Böcklinstraße
25,,Forststraße
9,,Böcklinstraße
10,,Böcklinstraße
11,,Böcklinstraße
14,,Böcklinstraße
15,,Böcklinstraße
16,,Böcklinstraße
17,,Böcklinstraße
18,,Böcklinstraße
19,,Böcklinstraße
22,,Böcklinstraße
23,,Böcklinstraße
24,,Böcklinstraße
1,,Dürerstraße
2,,Dürerstraße
4,,Dürerstraße
5,,Dürerstraße
6,,Dürerstraße
7,,Dürerstraße
8,,Dürerstraße
1,,Ludwig-Richter-Straße
2,,Ludwig-Richter-Straße
3,,Ludwig-Richter-Straße
4,,Ludwig-Richter-Straße
5,,Ludwig-Richter-Straße
6,,Ludwig-Richter-Straße
7,,Ludwig-Richter-Straße
8,,Ludwig-Richter-Straße
8,a,Ludwig-Richter-Straße
9,,Ludwig-Richter-Straße
10,,Ludwig-Richter-Straße
11,,Ludwig-Richter-Straße
12,,Ludwig-Richter-Straße
12,a,Ludwig-Richter-Straße
13,,Ludwig-Richter-Straße
13,a,Ludwig-Richter-Straße
15,,Ludwig-Richter-Straße
16,,Ludwig-Richter-Straße
17,,Ludwig-Richter-Straße
18,,Ludwig-Richter-Straße
19,,Ludwig-Richter-Straße
4,,Menzelstraße
20,,Ludwig-Richter-Straße
20,a,Ludwig-Richter-Straße
21,,Ludwig-Richter-Straße
23,,Ludwig-Richter-Straße
25,,Ludwig-Richter-Straße
25,a,Ludwig-Richter-Straße
25,b,Ludwig-Richter-Straße
26,,Ludwig-Richter-Straße
27,,Ludwig-Richter-Straße
28,,Ludwig-Richter-Straße
29,,Ludwig-Richter-Straße
30,,Ludwig-Richter-Straße
31,,Ludwig-Richter-Straße
32,,Ludwig-Richter-Straße
33,,Ludwig-Richter-Straße
34,,Ludwig-Richter-Straße
1,,Menzelstraße
2,,Menzelstraße
2,a,Menzelstraße
3,,Menzelstraße
5,,Menzelstraße
6,,Menzelstraße
7,,Menzelstraße
8,,Menzelstraße
9,,Menzelstraße
9,a,Menzelstraße
10,,Menzelstraße
11,,Menzelstraße
12,,Menzelstraße
12,a,Menzelstraße
14,,Menzelstraße
15,,Menzelstraße
16,,Menzelstraße
17,,Menzelstraße
18,,Menzelstraße
19,,Menzelstraße
19,a,Menzelstraße
20,,Menzelstraße
2,,Mühlenweg
3,,Mühlenweg
4,,Mühlenweg
1,,Rembrandtstraße
1,a,Rembrandtstraße
2,,Rembrandtstraße
3,,Rembrandtstraße
5,,Rembrandtstraße
6,,Rembrandtstraße
7,,Rembrandtstraße
8,,Rembrandtstraße
9,,Rembrandtstraße
10,,Rembrandtstraße
12,,Rembrandtstraße
13,,Rembrandtstraße
14,,Rembrandtstraße
15,,Rembrandtstraße
16,,Rembrandtstraße
17,,Rembrandtstraße
18,,Rembrandtstraße
19,,Rembrandtstraße
20,,Rembrandtstraße
21,,Rembrandtstraße
22,,Rembrandtstraße
24,,Rembrandtstraße
25,,Rembrandtstraße
26,,Rembrandtstraße
26,a,Rembrandtstraße
27,,Rembrandtstraße
29,,Rembrandtstraße
1,,Rubensstraße
3,,Rubensstraße
3,a,Rubensstraße
4,,Rubensstraße
5,,Rubensstraße
5,a,Rubensstraße
6,,Rubensstraße
7,,Rubensstraße
8,,Rubensstraße
9,,Rubensstraße
10,,Rubensstraße
1,,Schwanenallee
2,,Schwanenallee
3,,Schwanenallee
4,,Schwanenallee
5,,Schwanenallee
5,a,Schwanenallee
6,,Schwanenallee
7,,Schwanenallee
7,a,Schwanenallee
7,b,Schwanenallee
7,c,Schwanenallee
7,d,Schwanenallee
8,,Schwanenallee
9,,Schwanenallee
10,,Schwanenallee
11,,Schwanenallee
12,,Schwanenallee
2,,Seestraße
3,,Seestraße
6,,Seestraße
7,,Seestraße
8,,Seestraße
9,,Seestraße
10,,Seestraße
11,,Seestraße
11,a,Seestraße
12,,Seestraße
13,,Seestraße
13,a,Seestraße
14,,Seestraße
15,,Seestraße
16,,Seestraße
17,,Seestraße
18,,Seestraße
19,,Seestraße
20,,Seestraße
24,,Lisdorf
20,a,Seestraße
21,,Seestraße
22,,Seestraße
23,,Seestraße
24,,Seestraße
25,,Seestraße
26,,Seestraße
27,,Seestraße
28,,Seestraße
29,,Seestraße
30,,Seestraße
31,,Seestraße
32,,Seestraße
33,,Seestraße
34,,Seestraße
35,,Seestraße
36,,Seestraße
37,,Seestraße
38,,Seestraße
39,,Seestraße
40,,Seestraße
41,,Seestraße
43,,Seestraße
44,,Seestraße
45,,Seestraße
46,,Seestraße
1,,Tizianstraße
1,a,Tizianstraße
2,,Tizianstraße
2,a,Tizianstraße
3,,Tizianstraße
4,,Tizianstraße
5,,Tizianstraße
6,,Tizianstraße
7,,Tizianstraße
8,,Tizianstraße
8,a,Tizianstraße
9,,Tizianstraße
9,a,Tizianstraße
10,,Tizianstraße
11,,Tizianstraße
11,a,Tizianstraße
12,,Tizianstraße
12,a,Tizianstraße
13,,Tizianstraße
13,a,Tizianstraße
13,b,Tizianstraße
13,c,Tizianstraße
14,,Tizianstraße
15,,Tizianstraße
16,,Tizianstraße
16,a,Tizianstraße
17,,Tizianstraße
17,a,Tizianstraße
21,,Tizianstraße
22,,Tizianstraße
23,,Tizianstraße
24,,Tizianstraße
25,,Tizianstraße
2,,Leonardo-da-Vinci-Straße
